W23 finding — the rim read at the contour, per pixel, from the committed fixtures and the captures on hand (2026-09-08).
Columns: native = the committed fixture; rim004 / rim018 = W22 G0's fit captures at specularGain 0 and rimAlpha 0.04 / 0.18 (scratch); landed = the canonical web-captures at the 0.11.0 landing (rimAlpha 0.18, specularGain 0).
Rows are encoded luma (Rec.709 luma of the linearised pixels, re-encoded); y/x = 0 is the declared box's first row/column inside the shape.

== apple-macos-26.5-1x-light-standard dark-solid__rrect-md__rest box=(80,52)-(240,148)  columns: native  rim004  rim018  landed
-- top edge, column mean over x in [cx-10, cx+10], rows y0-4 .. y0+9 (encoded luma)
  x= -3   0.9034   0.8998   0.8998   0.8998
  x= -2   0.9034   0.8958   0.8958   0.8958
  x= -1   0.8995   0.8956   0.8956   0.8956
  x= +0   1.0000   0.9770   1.0000   1.0000
  x= +1   0.9899   0.9692   0.9849   0.9849
  x= +2   0.9706   0.9653   0.9656   0.9656
  x= +3   0.9706   0.9653   0.9653   0.9653
  x= +4   0.9706   0.9653   0.9653   0.9653
  x= +5   0.9706   0.9653   0.9653   0.9653
  x= +6   0.9706   0.9656   0.9656   0.9656
  x= +7   0.9706   0.9656   0.9656   0.9656
  x= +8   0.9706   0.9656   0.9656   0.9656
  x= +9   0.9706   0.9656   0.9656   0.9656

== apple-macos-26.5-1x-dark-standard dark-solid__rrect-md__rest box=(80,52)-(240,148)  columns: native  landed
-- top edge, column mean over x in [cx-10, cx+10], rows y0-4 .. y0+9 (encoded luma)
  y= -4   0.1065   0.1065
  y= -3   0.1065   0.1065
  y= -2   0.1065   0.1065
  y= -1   0.1065   0.1065
  y= +0   0.2239   0.2471
  y= +1   0.1300   0.1176
  y= +2   0.1297   0.1176
  y= +3   0.1297   0.1176
  y= +4   0.1297   0.1176
  y= +5   0.1297   0.1176
  y= +6   0.1297   0.1176
  y= +7   0.1297   0.1176
  y= +8   0.1297   0.1176
  y= +9   0.1297   0.1176
-- left edge, row mean over y in [cy-6, cy+6], columns x0-4 .. x0+9
  x= -4   0.1065   0.1025
  x= -3   0.1065   0.1025
  x= -2   0.1065   0.1025
  x= -1   0.1065   0.1025
  x= +0   0.2241   0.2471
