profile,scheme,scale,renderer,scene,backdrop,component,pose,tinted,set,R,twin,ratio2Native,ratio2Web,levelNative,levelWeb,structureNative,structureWeb,rimPeakWeb,rimPeakNative,tintDeltaLWeb,tintChromaDeltaWeb,ssim,deP95,departure,departureNative
apple-macos-27.0-2x-dark-standard-glass0.5,dark,2,css,photo__rrect-md__rest,photo,rrect-md,active,False,calibration,0.9561740016751488,0.8410306760394041,0.9172763883608089,0.21244737791139545,0.1889593513628035,0.16276830051716037,0.03957446808784108,0.010159811704491966,0.003936285927172739,0.01233419263276131,-0.061425764952875106,-0.014784628587644531,0.9812937464633129,0.14777000099935222,0.002461011167893035,0.001487811149636915
apple-macos-27.0-2x-dark-standard-glass0.5,dark,2,webgpu,photo__rrect-md__rest,photo,rrect-md,active,False,calibration,0.3614583008992846,0.27519468897631133,0.9172763883608089,0.11367354587648934,0.1889593513628035,0.16268085024902454,0.03957446808784108,0.014754598893968561,0.01895628009213876,0.01233419263276131,-0.06186392124460971,-0.01786899981268533,0.9888983782208123,0.16607490301054634,0.0016264246592262678,0.001487811149636915
apple-macos-27.0-2x-dark-standard-glass0.5,dark,2,css,photo__rrect-ml__inactive,photo,rrect-ml,inactive,False,probe,0.9200721044968394,0.9235811172335356,0.9016567752636258,0.2395979061049024,0.1660516331357581,0.16074240728765962,0.03948042087447463,0.011948289244978412,0,0,-0.06792793001828923,-0.003032420878624238,0.9790803339374275,0.16005690211908624,0.006233219544262379,0.0009251768056681545
apple-macos-27.0-2x-dark-standard-glass0.5,dark,2,webgpu,photo__rrect-ml__inactive,photo,rrect-ml,inactive,False,probe,0.4925811298340655,0.42152740048561577,0.9016567752636258,0.1301013634450115,0.1660516331357581,0.1616165170664943,0.03948042087447463,0.012370463216226407,0.00014007260495785268,0,-0.06684429469431352,-0.004019081137295286,0.9784111166654627,0.17963027299334489,0.006877294017620167,0.0009251768056681545
apple-macos-27.0-2x-light-standard-glass0.5,light,2,css,checkerboard-32__capsule-button__rest-tint-orange,checkerboard-32,capsule-button,active,True,probe,2.351001838542362,6.929818330604486,8877857.925971791,8812321.434453722,0.3592253441130958,0.35097381898642666,0.03613027030794188,0.004103882341719078,0.0017227739443189671,0.0642488845339988,-0.07712599420262689,0.1642433693430789,0.9824095441926336,0.02059225338171082,0.0018404429007671493,0.0008027284286227607
apple-macos-27.0-2x-light-standard-glass0.5,light,2,webgpu,checkerboard-32__capsule-button__rest-tint-orange,checkerboard-32,capsule-button,active,True,probe,1.0379382782157511,1.0987167084094582,8877857.925971791,8817509.962183535,0.3592253441130958,0.3547478980672593,0.03613027030794188,0.030627129068056414,0.026600341463340726,0.0642488845339988,-0.07464887482605131,0.1644190385224576,0.9913526167221199,0.005144079824778606,0.0008599406130049297,0.0008027284286227607
apple-macos-27.0-2x-light-standard-glass0.5,light,2,css,checkerboard-4__capsule-button__rest-tint-orange,checkerboard-4,capsule-button,active,True,probe,3.322563345254603,10.562784891201975,8868759.865449438,8812489.688486798,0.3574225594706818,0.35113493760100056,0.030414797672342175,0.002863197973223626,0.0023695237464003704,0.06419311024849172,-0.07702027227300723,0.16423315546108277,0.981658932193119,0.013508560318055739,0.0018911992623268238,0.0008284949102975903
apple-macos-27.0-2x-light-standard-glass0.5,light,2,webgpu,checkerboard-4__capsule-button__rest-tint-orange,checkerboard-4,capsule-button,active,True,probe,1.1701222458939362,1.4562665356911546,8868759.865449438,8856865.870670997,0.3574225594706818,0.3590065657781412,0.030414797672342175,0.018447529119426136,0.024361527236525127,0.06419311024849172,-0.07178615359077345,0.16506431349306536,0.9900702093474846,0.010349739131891104,0.0008594508635249201,0.0008284949102975903
apple-macos-27.0-2x-light-standard-glass0.5,light,2,css,checkerboard-64__capsule-button__rest-tint-orange,checkerboard-64,capsule-button,active,True,probe,2.4096215358388156,10.972591151477896,7679827.800354335,7562429.161203745,0.3626385310297501,0.344796627301762,0.05717202161706134,0.0041555658661151604,0.0017241089852720881,0.052121322880252396,-0.12098082198449056,0.16310265814553843,0.9808042098874811,0.03595436280200415,0.0010395551110673194,0.000752214777890424
apple-macos-27.0-2x-light-standard-glass0.5,light,2,webgpu,checkerboard-64__capsule-button__rest-tint-orange,checkerboard-64,capsule-button,active,True,probe,1.0228787025606167,1.2261274326588139,7679827.800354335,7668869.154166688,0.3626385310297501,0.3614740428153986,0.05717202161706134,0.04435875232270956,0.024757033843338938,0.052121322880252396,-0.10967597776139848,0.16570343666701534,0.9907186291558522,0.006049071151121356,0.0007688214862663535,0.000752214777890424
