tier,profile,scene,expectedEncoded,actualEncoded,deltaCodes,gated,withinCode
webgpu,apple-macos-26.5-1x-light-reduced-transparency,photo__capsule-button__rest,0.46274873418332846,0.4626762568950653,-0.018481708507103456,true,true
webgpu,apple-macos-26.5-1x-light-reduced-transparency,photo__capsule-button__rest-tint-orange,0.46274873418332846,0.4626762568950653,-0.018481708507103456,true,true
webgpu,apple-macos-26.5-1x-light-reduced-transparency,photo__rrect-lg__inactive,0.44151759493353665,0.4414477050304413,-0.017821925289318308,true,true
webgpu,apple-macos-26.5-1x-light-reduced-transparency,photo__rrect-lg__rest,0.44151759493353665,0.4414477050304413,-0.017821925289318308,true,true
webgpu,apple-macos-26.5-1x-light-reduced-transparency,photo__rrect-md__inactive,0.44739552256259263,0.4473254680633545,-0.017863897305724907,true,true
webgpu,apple-macos-26.5-1x-light-reduced-transparency,photo__rrect-md__rest,0.44739552256259263,0.4473254680633545,-0.017863897305724907,true,true
webgpu,apple-macos-26.5-1x-light-reduced-transparency,photo__toolbar-group__inactive,0.4906975334496801,0.4906199475129445,-0.019784413867570128,true,true
webgpu,apple-macos-26.5-1x-light-reduced-transparency,photo__toolbar-group__rest,0.4906975334496801,0.4906199475129445,-0.019784413867570128,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-32__capsule-button__rest,0.4999999999999999,0.4999999403953552,-0.000015199184389413922,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-32__capsule-button__rest-tint-orange,0.4999999999999999,0.4999999403953552,-0.000015199184389413922,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-32__rrect-lg__inactive,0.49999999999999994,0.5,1.4155343563970746e-14,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-32__rrect-lg__rest,0.49999999999999994,0.5,1.4155343563970746e-14,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-32__rrect-md__rest,0.4999999999999999,0.4999999701976776,-0.0000075995921805516176,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-32__rrect-ml__rest,0.4999999999999999,0.4999999403953552,-0.000015199184389413922,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-32__rrect-sm__rest,0.4999999999999999,0.4999999701976776,-0.0000075995921805516176,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-4__capsule-button__rest,0.49999999999999983,0.4999999403953552,-0.000015199184375258579,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-4__capsule-button__rest-tint-orange,0.49999999999999983,0.4999999403953552,-0.000015199184375258579,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-4__rrect-lg__rest,0.49999999999999983,0.4999999403953552,-0.000015199184375258579,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-4__rrect-ml__rest,0.4999999999999999,0.4999999701976776,-0.0000075995921805516176,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-4__rrect-sm__rest,0.4999999999999999,0.4999999701976776,-0.0000075995921805516176,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-64__capsule-button__rest,0.5779967159277504,0.5779966711997986,-0.000011405627705629584,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-64__capsule-button__rest-tint-orange,0.5779967159277504,0.5779966711997986,-0.000011405627705629584,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-64__rrect-lg__inactive,0.502464853021727,0.502464771270752,-0.00002084649865063959,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-64__rrect-lg__rest,0.502464853021727,0.502464771270752,-0.00002084649865063959,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-64__rrect-md__inactive,0.45527156549520753,0.45527151226997375,-0.00001357243461286295,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-64__rrect-md__rest,0.45527156549520753,0.45527151226997375,-0.00001357243461286295,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-64__rrect-ml__rest,0.5099828864803193,0.5099828839302063,-6.502788174600482e-7,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-64__rrect-sm__rest,0.9999999999999999,1,2.8310687127941492e-14,true,true
webgpu,apple-macos-26.5-1x-light-standard,checkerboard-8__capsule-button__rest,0.4999999999999999,0.49999991059303284,-0.000022798776598276227,true,true
