== probe9-base / apple-macos-26.5-1x-light-standard   fixtures=/Users/new/.claude/jobs/5c70e47f/tmp/w9-probe-fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w24/g0/ladder/probe9-base/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
hc-text__rrect-lg__rest                  calibration native  0.8091  0.1320  0.1693  0.1721  0.1499  0.1662  0.1886  0.1895  0.1863  0.1368  0.0751  0.0524  0.0746  0.0951  0.0990  0.0863  0.1357    3.62      SE  0.276
hc-text__rrect-lg__rest                  calibration web     0.7921  0.1003  0.2040  0.2033  0.1710  0.1961  0.2038  0.2032  0.2008  0.1594  0.1252  0.0997  0.0712  0.0954  0.0878  0.1127  0.1510    2.87     NNE  0.349
hc-text-28__rrect-sm__rest               calibration native  0.7195  0.1851  0.2021  0.1774  0.1663  0.0869  0.2191  0.2191  0.2202  0.2195  0.2202  0.2191  0.2191  0.1014  0.1684  0.1838  0.2134    2.54     SSE  0.394
hc-text-28__rrect-sm__rest               calibration web     0.6760  0.2038  0.2441  0.2256  0.2276  0.1596  0.2689  0.2306  0.2287  0.2287  0.2287  0.2313  0.2689  0.1592  0.2276  0.2211  0.2441    1.69     WSW  0.592
hc-text-28__rrect-md__rest               calibration native  0.7028  0.2139  0.2482  0.2470  0.2340  0.2020  0.2490  0.2457  0.2459  0.1912  0.1941  0.1959  0.2142  0.1612  0.1968  0.2127  0.2155    1.54     ESE  0.647
hc-text-28__rrect-md__rest               calibration web     0.7274  0.1786  0.2218  0.2273  0.2026  0.1543  0.2331  0.2486  0.2492  0.2378  0.2377  0.2323  0.2258  0.1077  0.1440  0.2132  0.2018    2.31     SSE  0.432
light-solid__rrect-sm__rest              calibration native  0.9666  0.0334  0.0334  0.0321  0.0334  0.0334  0.0334  0.0321  0.0334  0.0334  0.0334  0.0321  0.0334  0.0334  0.0334  0.0321  0.0334    1.04     NNE  0.962
light-solid__rrect-sm__rest              calibration web     0.9740  0.0260  0.0260  0.0253  0.0246  0.0260  0.0246  0.0247  0.0260  0.0260  0.0260  0.0253  0.0246  0.0260  0.0246  0.0247  0.0260    1.06       N  0.947
light-solid__rrect-md__rest              calibration native  0.9345  0.0634  0.0570  0.0610  0.0573  0.0608  0.0578  0.0609  0.0561  0.0629  0.0538  0.0609  0.0550  0.0608  0.0594  0.0604  0.0597    1.18       N  0.849
light-solid__rrect-md__rest              calibration web     0.9318  0.0678  0.0605  0.0612  0.0614  0.0665  0.0558  0.0579  0.0575  0.0670  0.0586  0.0599  0.0575  0.0667  0.0614  0.0625  0.0591    1.22       N  0.823
light-solid__rrect-lg__rest              calibration native  0.9324  0.0598  0.0529  0.0565  0.0519  0.0578  0.0555  0.0581  0.0562  0.0595  0.0527  0.0573  0.0519  0.0578  0.0560  0.0583  0.0549    1.15       N  0.868
light-solid__rrect-lg__rest              calibration web     0.9314  0.0677  0.0616  0.0578  0.0601  0.0662  0.0577  0.0545  0.0518  0.0668  0.0518  0.0555  0.0571  0.0662  0.0606  0.0590  0.0631    1.31       N  0.765
dark-solid__rrect-sm__rest               calibration native  0.0110  0.0198  0.0042  0.0016  0.0037  0.0192  0.0206  0.0222  0.0218  0.0198  0.0039  0.0014  0.0036  0.0192  0.0208  0.0225  0.0222   15.59      NW  0.064
