
## 1x-grid  (apple-macos-26.5-1x-light-standard)

### ranked by mean ssimBand rise over the 5 checkerboard cells

point                                                               obj  bandRise  minΔssimMean    S1    S4   maxΔisd
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=20         0.05125   0.9989   0.9855   0.9678   0.9435   0.9639   0.9974
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=50         0.05264   0.9989   0.9856   0.9678   0.9417   0.9641   0.9974
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=80         0.05396   0.9989   0.9856   0.9666   0.9338   0.9641   0.9974
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=100        0.05438   0.9989   0.9856   0.9661   0.9299   0.9641   0.9974
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=150        0.05487   0.9989   0.9856   0.9651   0.9240   0.9641   0.9974
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=200        0.05508   0.9989   0.9856   0.9646   0.9209   0.9641   0.9974
sizeScatterRampStart1x=0.75 sizeScatterRampReach1xPx=300        0.05527   0.9989   0.9856   0.9642   0.9177   0.9641   0.9974
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=30         0.05459   0.9988   0.9855   0.9664   0.9402   0.9635   0.9974
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=20         0.05264   0.9987   0.9854   0.9663   0.9406   0.9634   0.9974
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=50         0.05687   0.9987   0.9853   0.9652   0.9359   0.9635   0.9974
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=80         0.05862   0.9987   0.9851   0.9629   0.9242   0.9635   0.9974
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=100        0.05929   0.9987   0.9851   0.9619   0.9185   0.9634   0.9974
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=150        0.06008   0.9987   0.9851   0.9602   0.9106   0.9634   0.9974
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=200        0.06040   0.9986   0.9851   0.9593   0.9062   0.9634   0.9973
sizeScatterRampStart1x=0.85 sizeScatterRampReach1xPx=300        0.06082   0.9986   0.9850   0.9587   0.9018   0.9634   0.9973
