
## 2x-grid  (apple-macos-26.5-2x-light-standard)

### ranked by mean ssimBand rise over the 5 checkerboard cells

point                                                               obj  bandRise  minΔssimMean    S1    S4   maxΔisd
point                                                               obj       sm     caps       md       ml       tb   pho-md
main(W12 close)                                                       —     —        —      0.9594   0.9589     —      0.9973
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=20         0.06613     —        —      0.9183   0.9081     —      0.9975
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=40         0.06613     —        —      0.9183   0.9081     —      0.9975
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=60         0.06613     —        —      0.9183   0.9081     —      0.9975
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=100        0.06613     —        —      0.9183   0.9081     —      0.9975
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=200        0.06613     —        —      0.9183   0.9081     —      0.9975
sizeScatterRampStart2x=0.25 sizeScatterRampReach2xPx=300        0.06613     —        —      0.9183   0.9081     —      0.9975
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=20         0.06613     —        —      0.9183   0.9081     —      0.9975
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=40         0.06613     —        —      0.9183   0.9081     —      0.9975
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=60         0.06613     —        —      0.9183   0.9081     —      0.9975
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=100        0.06613     —        —      0.9183   0.9081     —      0.9975
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=200        0.06613     —        —      0.9183   0.9081     —      0.9975
sizeScatterRampStart2x=0.35 sizeScatterRampReach2xPx=300        0.06613     —        —      0.9183   0.9081     —      0.9975
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=20         0.06609     —        —      0.9183   0.9081     —      0.9975
sizeScatterRampStart2x=0.45 sizeScatterRampReach2xPx=40         0.06617     —        —      0.9183   0.9081     —      0.9975
