== apple-macos-26.5-2x-light-standard / webgpu / before   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g1c/c0b/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard-4__rrect-ml__rest           calibration native  0.6913  0.1882  0.1341  0.0901  0.1124  0.1704  0.1957  0.1954  0.2001  0.1699  0.0607  0.0671  0.0864  0.1691  0.1979  0.2031  0.2061    3.39     NNW  0.295
checkerboard-4__rrect-lg__rest           calibration native  0.7056  0.1793  0.1208  0.0715  0.0980  0.1627  0.1869  0.1950  0.1857  0.1635  0.0584  0.0450  0.0734  0.1612  0.1926  0.2037  0.2001    4.53      NW  0.221
checkerboard-8__rrect-sm__rest           calibration native  0.6086  0.2281  0.2740  0.2654  0.2447  0.2228  0.2306  0.2476  0.2459  0.2030  0.0926  0.0945  0.1743  0.1786  0.2580  0.2404  0.2301    2.96     NNE  0.338
checkerboard-8__capsule-button__rest     calibration native  0.6080  0.2227  0.1299  0.1057  0.1275  0.2233  0.1829  0.2135  0.2122  0.2020  0.1640  0.1620  0.1926  0.2018  0.2591  0.2678  0.2740    2.59     NNW  0.386
checkerboard-8__rrect-md__rest           calibration native  0.6773  0.1943  0.0377  0.0753  0.1275  0.1842  0.1969  0.1849  0.1820  0.1748  0.1201  0.1280  0.1427  0.1796  0.2114  0.2194  0.2327    6.17     NNW  0.162
checkerboard-8__rrect-ml__rest           calibration native  0.6914  0.1841  0.1401  0.1185  0.1738  0.1718  0.2025  0.1943  0.1923  0.1692  0.0759  0.0601  0.0683  0.1665  0.1818  0.1966  0.1987    3.37     ESE  0.297
checkerboard-8__rrect-lg__rest           calibration native  0.7057  0.1761  0.1167  0.1372  0.1182  0.1691  0.1849  0.1855  0.1847  0.1637  0.0567  0.0450  0.0743  0.1524  0.1888  0.1905  0.1928    4.29     NNW  0.233
checkerboard-32__rrect-sm__rest          calibration native  0.6222  0.1901 -0.1295 -0.1470  0.1383  0.1935  0.1853  0.1999  0.2137  0.2178  0.1332  0.1343  0.2147  0.2417  0.2811  0.3114  0.3303     inf     NNW -0.445
checkerboard-32__capsule-button__rest    calibration native  0.6236  0.2316  0.2599  0.2560  0.2490  0.2332  0.2390  0.2430  0.2404  0.2177  0.2184  0.1947  0.1846  0.1333  0.1317  0.1388  0.1508    1.97     NNE  0.507
checkerboard-32__rrect-md__rest          calibration native  0.6836  0.2258  0.2896  0.3096  0.3047  0.2344  0.1362  0.0788  0.1010  0.2434  0.2706  0.2779  0.2684  0.2286  0.0669  0.0590  0.0812    5.25      NE  0.190
checkerboard-32__rrect-ml__rest          calibration native  0.6879  0.2279  0.2422  0.2326  0.1564  0.1802  0.2800  0.2576  0.2067  0.1799  0.1350  0.0307 -0.1030  0.1837  0.2544  0.2144  0.1903     inf     ESE -0.368
checkerboard-32__rrect-lg__rest          calibration native  0.6949  0.2024  0.2287  0.0494  0.0882  0.1989  0.2106  0.2359  0.2023  0.2022  0.0804  0.0011  0.0771  0.1927  0.2279  0.2111  0.1453  222.95      SE  0.004
checkerboard-64__rrect-sm__rest          calibration native  0.9724  0.0276  0.0273  0.0138  0.0011  0.0011  0.0015  0.0174  0.0273  0.0276  0.0273  0.0137  0.0011  0.0011  0.0015  0.0170  0.0276   25.31       N  0.040
checkerboard-64__capsule-button__rest    calibration native  0.6583  0.1856 -0.1261 -0.1999 -0.1108  0.0198  0.0576  0.0694  0.0425  0.2116 -0.1337 -0.2006 -0.1108  0.0198  0.0576  0.0699  0.0488     inf       S -0.948
checkerboard-64__rrect-md__rest          calibration native  0.6575  0.2822  0.2426  0.2316  0.2170  0.1770  0.1798  0.2078  0.2091  0.2655  0.1345  0.1399  0.0682  0.1665  0.2396  0.2420  0.2462    4.14       N  0.242
checkerboard-64__rrect-ml__rest          calibration native  0.6761  0.2526  0.2540  0.2436  0.1662  0.1079  0.0660  0.0907  0.1391  0.1937  0.1378  0.0419 -0.1319  0.1109  0.1695  0.2434  0.2540     inf     NNE -0.519
