== apple-macos-26.5-1x-light-standard / css / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard-32__capsule-button__rest    calibration native  0.6214  0.1589  0.2611  0.2493  0.2409  0.2402  0.2332  0.2242  0.2176  0.2097  0.2040  0.1983  0.1822 -0.0155 -0.0593 -0.0369 -0.0301     inf     NNE -0.227
checkerboard-32__capsule-button__rest    calibration web     0.6818  0.0755  0.2700  0.2796  0.2698  0.1874 -0.1662 -0.2554 -0.2483  0.0683  0.2694  0.2688  0.2247 -0.0963 -0.2001 -0.1948 -0.2027     inf      NE -0.913
checkerboard-32__rrect-md__rest          calibration native  0.6823  0.2163  0.2717  0.2824  0.2779  0.2057  0.0550 -0.0599 -0.0538  0.2114  0.2534  0.2556  0.2428  0.1548 -0.0812 -0.0874 -0.0674     inf      NE -0.309
checkerboard-32__rrect-md__rest          calibration web     0.6987  0.0753  0.2180  0.2376  0.2257  0.0661  0.0784 -0.1609 -0.1068  0.0678  0.1715  0.2052  0.0383  0.0687 -0.1622 -0.1896 -0.0958     inf      NE -0.798
checkerboard-32__rrect-ml__rest          calibration native  0.6887  0.2054  0.2065  0.1876  0.1334  0.1421  0.2617  0.2413  0.1984  0.1596  0.1336  0.0342 -0.1418  0.1501  0.2238  0.1930  0.1637     inf     ESE -0.542
checkerboard-32__rrect-ml__rest          calibration web     0.6985  0.1163  0.0968 -0.0953 -0.1932  0.0456  0.2294  0.2178 -0.0002  0.0662  0.0741 -0.1832 -0.1883  0.0855  0.2339  0.1972  0.1293     inf     WNW -0.826
checkerboard-32__rrect-lg__rest          calibration native  0.6972  0.1831  0.2210  0.0135  0.0644  0.1609  0.1673  0.2144  0.1578  0.1684  0.1120 -0.0011  0.0994  0.1705  0.1883  0.1798  0.1151     inf     NNE -0.005
checkerboard-32__rrect-lg__rest          calibration web     0.6987  0.0705  0.2138  0.0066  0.0581  0.0755 -0.1693 -0.0051 -0.1699  0.0680  0.1879  0.0462  0.1842  0.0554  0.0281  0.1225 -0.1600     inf     NNE -0.795
checkerboard-64__rrect-sm__rest          calibration native  0.9660  0.0340  0.0340  0.0319  0.0295  0.0336  0.0302  0.0319  0.0340  0.0340  0.0340  0.0319  0.0295  0.0336  0.0302  0.0319  0.0340    1.15       N  0.869
checkerboard-64__rrect-sm__rest          calibration web     0.9444  0.0095 -0.0097 -0.0228 -0.0228 -0.0341 -0.0228 -0.0228 -0.0228  0.0088  0.0082  0.0076  0.0087  0.0116  0.0116  0.0029  0.0116     inf       W -2.954
checkerboard-64__capsule-button__rest    calibration native  0.6224  0.1799 -0.1675 -0.1973 -0.1761 -0.0860 -0.0940 -0.0770 -0.0914  0.1762 -0.1682 -0.1992 -0.1749 -0.0869 -0.0979 -0.0716 -0.0947     inf       N -1.107
checkerboard-64__capsule-button__rest    calibration web     0.7191  0.1292 -0.2543 -0.2525 -0.2543 -0.3116 -0.3121 -0.3258 -0.3019  0.1181 -0.2497 -0.2491 -0.2626 -0.2293 -0.2555 -0.2389 -0.2460     inf       N -2.521
checkerboard-64__rrect-md__rest          calibration native  0.6571  0.2889  0.2416  0.2292  0.2169  0.0605  0.0879  0.1917  0.1750  0.2615  0.1303  0.1403  0.0075  0.0610  0.2335  0.2410  0.2453   38.38       N  0.026
checkerboard-64__rrect-md__rest          calibration web     0.6830  0.0890  0.2786  0.2749  0.2466 -0.0867  0.0341  0.2239  0.2557  0.0870  0.2619  0.2378  0.0564 -0.0765  0.2469  0.2735  0.2761     inf     NNE -0.311
checkerboard-64__rrect-ml__rest          calibration native  0.6760  0.2399  0.2265  0.1991  0.1437  0.0879 -0.0897  0.0482  0.1495  0.1783  0.1485  0.0441 -0.1336  0.0874  0.1455  0.1991  0.2263     inf       N -0.557
checkerboard-64__rrect-ml__rest          calibration web     0.6923  0.1314  0.0972 -0.1740 -0.2099  0.1615 -0.2089 -0.1965  0.0814  0.1295  0.0800 -0.1759 -0.1821  0.1645 -0.2036 -0.1655  0.0990     inf       W -1.276
checkerboard-64__rrect-lg__rest          calibration native  0.6888  0.1965  0.1296 -0.0552 -0.0769  0.1630  0.0932  0.0286  0.1211  0.1905  0.0913 -0.0408  0.0578  0.1670 -0.0134  0.0278  0.1546     inf       N -0.391
checkerboard-64__rrect-lg__rest          calibration web     0.6954  0.0974 -0.2230 -0.2440 -0.2368  0.1005 -0.2733 -0.2953 -0.2729  0.0934 -0.2358 -0.2458 -0.2235  0.1088 -0.2248 -0.2492 -0.2267     inf       W -2.715
checkerboard-lc16__rrect-sm__rest        calibration native  0.8013  0.1093  0.1191  0.1243  0.1248  0.0953  0.0890  0.0847  0.0904  0.1062  0.0828  0.0784  0.0784  0.1152  0.0291  0.0809  0.0802    4.29     ENE  0.233
checkerboard-lc16__rrect-sm__rest        calibration web     0.8196  0.0522  0.0192  0.0418  0.0670  0.0612 -0.0026 -0.0676 -0.0942  0.0339  0.1073  0.1092  0.1056  0.0035 -0.0248  0.0349  0.0780     inf      SW -0.863
checkerboard-lc16__capsule-button__rest  calibration native  0.8010  0.1081  0.0302 -0.0247  0.0169  0.0600  0.0224  0.0763  0.0786  0.1120  0.1226  0.1205  0.1289  0.1196  0.1286  0.1430  0.1277     inf      NW -0.173
checkerboard-lc16__capsule-button__rest  calibration web     0.8144  0.0363  0.0544 -0.0200  0.0736  0.0665 -0.0675 -0.0709  0.0511  0.0642  0.0332  0.0726  0.0776 -0.0389 -0.0491  0.0695 -0.0179     inf     WSW -0.914
