== apple-macos-26.5-1x-dark-standard / webgpu / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
hc-text-7__rrect-lg__rest                calibration native  0.0802  0.3944  0.8183  0.7903  0.7884  0.7668  0.7464  0.7127  0.7084  0.6834  0.3955  0.3964  0.5024  0.4565  0.4940  0.4648  0.7293    2.07     NNE  0.482
hc-text-7__rrect-lg__rest                calibration web     0.0721  0.3770  0.8595  0.8525  0.8421  0.8249  0.8171  0.8015  0.7932  0.7475  0.4243  0.4302  0.5338  0.4799  0.5164  0.4820  0.7516    2.28     NNE  0.439
hc-text-28__rrect-sm__rest               calibration native  0.1163  0.8656  0.8660  0.8226  0.8572  0.3687  0.8484  0.8047  0.8397  0.8397  0.8397  0.8102  0.8484  0.3762  0.8572  0.8178  0.8660    2.35     NNE  0.426
hc-text-28__rrect-sm__rest               calibration web     0.0907  0.8916  0.8889  0.8848  0.8828  0.3705  0.8740  0.8740  0.8653  0.8653  0.8653  0.8740  0.8740  0.3711  0.8828  0.8848  0.8889    2.41       N  0.416
hc-text-28__rrect-md__rest               calibration native  0.0556  0.8747  0.8626  0.8350  0.8545  0.7003  0.8277  0.7970  0.8038  0.3356  0.7409  0.7786  0.8123  0.4249  0.4429  0.8355  0.8688    2.61       N  0.384
hc-text-28__rrect-md__rest               calibration web     0.0577  0.8586  0.8593  0.8579  0.8483  0.6913  0.8183  0.8076  0.7974  0.3810  0.7403  0.7919  0.8069  0.4203  0.4259  0.8481  0.8553    2.26     NNE  0.443
hc-text-28__rrect-lg__rest               calibration native  0.0827  0.8139  0.8158  0.7884  0.7859  0.7644  0.7439  0.7090  0.7060  0.2414  0.1392  0.7047  0.3292  0.4850  0.1111  0.7869  0.8152    7.34     NNE  0.136
hc-text-28__rrect-lg__rest               calibration web     0.0719  0.8505  0.8587  0.8514  0.8423  0.8252  0.8173  0.8016  0.7933  0.2880  0.1758  0.7664  0.3514  0.5119  0.1021  0.8373  0.8513    8.41     NNE  0.119
hc-text__rrect-sm__rest                  calibration native  0.1250  0.8569  0.6042  0.0338  0.1143  0.5964  0.6679  0.0432  0.0433  0.0661  0.0433  0.0432  0.6570  0.5955  0.1417  0.0460  0.6136   25.38       N  0.039
hc-text__rrect-sm__rest                  calibration web     0.1081  0.8742  0.6120  0.0221  0.1506  0.6117  0.7048  0.0264  0.0285  0.0499  0.0221  0.0221  0.6848  0.6112  0.2005  0.0614  0.6228   39.59       N  0.025
