== apple-macos-26.5-2x-dark-standard / css / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a0b3ec5c627c98ae9/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w26/g2/cand/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard-64__rrect-sm__rest          calibration web     0.1221  0.8601  0.7868  0.1300  0.0089 -0.0072 -0.0051  0.0012  0.0084  0.0486  0.0912  0.1625  0.2453  0.0575  0.6891  0.8601  0.8601     inf       N -0.008
checkerboard-64__capsule-button__rest    calibration native  0.1402  0.6236 -0.0826 -0.0973 -0.0654 -0.0071 -0.0159 -0.0306 -0.0453  0.6024 -0.0855 -0.0975 -0.0654 -0.0071 -0.0159 -0.0300 -0.0406     inf       N -0.156
checkerboard-64__capsule-button__rest    calibration web     0.0784  0.6716 -0.0357 -0.0381 -0.0439 -0.0556 -0.0596 -0.0599 -0.0596  0.0583 -0.0432 -0.0383 -0.0359 -0.0322 -0.0364 -0.0381 -0.0365     inf       N -0.089
checkerboard-64__rrect-md__rest          calibration native  0.0490  0.4926  0.8717  0.8613  0.8482  0.1134  0.4290  0.7886  0.7816  0.4471  0.7814  0.7886  0.4036  0.1093  0.8485  0.8613  0.8718    7.97     NNW  0.125
checkerboard-64__rrect-md__rest          calibration web     0.0475  0.4207  0.7342  0.2413  0.1681 -0.0248  0.0568  0.1473  0.1117  0.0258  0.1713  0.2349  0.2970  0.0245  0.8708  0.8819  0.8826     inf     NNW -0.028
checkerboard-64__rrect-ml__rest          calibration native  0.0517  0.5733  0.4919  0.0415  0.0221  0.5818  0.0060  0.0084  0.3975  0.4939  0.3905 -0.0049 -0.0263  0.5828  0.0298  0.0415  0.4985     inf       W -0.045
checkerboard-64__rrect-ml__rest          calibration web     0.0472  0.5481  0.4541 -0.0331 -0.0418  0.0534 -0.0450 -0.0367  0.0281  0.0396  0.0499 -0.0336 -0.0379  0.6104 -0.0397 -0.0300  0.5005     inf       W -0.074
checkerboard-64__rrect-lg__rest          calibration native  0.0538  0.4991  0.0384 -0.0029 -0.0016  0.4607  0.0385  0.0330  0.0451  0.4098 -0.0054 -0.0221 -0.0096  0.4632  0.0620  0.0788  0.1415     inf       N -0.044
checkerboard-64__rrect-lg__rest          calibration web     0.0478  0.4682 -0.0404 -0.0404 -0.0423  0.0348 -0.0478 -0.0478 -0.0478  0.0303 -0.0423 -0.0404 -0.0404  0.4735 -0.0404 -0.0404 -0.0404     inf       W -0.101
checkerboard-lc16__rrect-sm__rest        calibration native  0.1253  0.3938  0.0869  0.0869  0.4580  0.2875  0.5010  0.2094  0.2016  0.4013  0.6237  0.6276  0.5705  0.5065  0.6187  0.6404  0.6429    7.39     NNW  0.135
checkerboard-lc16__rrect-sm__rest        calibration web     0.1170  0.3732  0.0945  0.1053  0.1032  0.0767  0.0213  0.0101 -0.0068  0.0844  0.1441  0.1951  0.2406  0.4944  0.6303  0.6511  0.6511     inf      NW -0.010
checkerboard-lc16__capsule-button__rest  calibration native  0.1256  0.3931  0.4660  0.0866  0.6043  0.6174  0.1910  0.1996  0.2665  0.3759  0.6107  0.6255  0.6273  0.1831  0.2432  0.6370  0.3439    7.35      NW  0.136
checkerboard-lc16__capsule-button__rest  calibration web     0.1111  0.3737  0.4226  0.0646  0.0764  0.0308 -0.0125 -0.0136  0.0115  0.0772  0.0699  0.1314  0.5319  0.1295  0.1535  0.6563  0.3025     inf      NW -0.021
checkerboard-lc16__rrect-md__rest        calibration native  0.0659  0.4021  0.6628  0.2952  0.2805  0.3878  0.5274  0.6114  0.6028  0.3655  0.1292  0.1287  0.3926  0.4349  0.6460  0.5707  0.1861    5.15     NNE  0.194
checkerboard-lc16__rrect-md__rest        calibration web     0.0729  0.3895  0.5608  0.0752  0.0295  0.0443  0.0034  0.0157  0.0144  0.0465  0.0202  0.0312  0.2522  0.3743  0.6487  0.5644  0.1323  191.26     WNW  0.005
checkerboard-lc16__rrect-ml__rest        calibration native  0.0682  0.3855  0.4339  0.6298  0.6121  0.4162  0.5800  0.1588  0.3844  0.3340  0.3224  0.5591  0.2301  0.3969  0.2403  0.1816  0.3821    3.97      NE  0.252
checkerboard-lc16__rrect-ml__rest        calibration web     0.0738  0.3878  0.3853  0.1663  0.1065  0.0463  0.0379  0.0157  0.0282  0.0475  0.1155  0.2085  0.2145  0.3488  0.2224  0.1547  0.3799   24.70       N  0.040
checkerboard-lc16__rrect-lg__rest        calibration native  0.0709  0.3776  0.2337  0.2643  0.4006  0.3675  0.1647  0.3731  0.1602  0.3226  0.5176  0.3342  0.5526  0.3326  0.3501  0.4980  0.5638    3.52     NNW  0.284
checkerboard-lc16__rrect-lg__rest        calibration web     0.0735  0.3835  0.1260  0.1073  0.0926  0.0465  0.0060  0.0783  0.0061  0.0467  0.1533  0.1295  0.4811  0.3439  0.3540  0.5283  0.5880   97.97     NNW  0.010
hc-text-7__rrect-sm__rest                calibration native  0.1162  0.8660  0.8660  0.8593  0.8572  0.6173  0.8485  0.8304  0.2493  0.1396  0.0898  0.8283  0.5577  0.5550  0.2597  0.8593  0.8660    9.65     NNE  0.104
hc-text-7__rrect-sm__rest                calibration web     0.1164  0.8659  0.7982  0.2515  0.1704  0.0981  0.0369  0.0299  0.0278  0.0484  0.0433  0.1554  0.5073  0.5536  0.2117  0.8659  0.8659   31.19       N  0.032
